"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_anterior","RRI_nueva","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8"
"108",44,5,7,11,12,3226,23,11,1,0,0,0,1,0,203668,4763244,0,1.14261328635497,0.974470707229413,11,0.418,0.24,0.76,0.083,0,0.985,0.015,11,0.416,0
"109",54,6,7,17,17,2716,9,18,0,1,1,0,1,0,187935,4763244,0,0.682078590674145,1.05604863383617,17,0.646,0.051,0.949,0.152,0,0.934,0.066,17,0.657,0
"110",68,7,7,20,4,2233,19,23,1,0,0,0,1,0,202922,4763244,0,1.82607235522514,0.978053143572407,20,0.49,0.22,0.779,0.237,0,0.938,0.062,20,0.472,0
"111",72,8,7,23,23,2123,9,7,1,0,0,0,1,0,188884,4763244,0,0.791329085660516,1.05074278393088,23,0.532,0.174,0.826,0.208,0,0.818,0.182,23,0.515,0
"112",88,9,7,15,15,1760,11,6,1,0,0,0,0,0,223069,4763244,0,0.906973609048326,0.889717979638587,15,0.395,0.292,0.708,0.108,0.377,0.623,0,15,0.426,0
"113",130,12,7,2,14,6772,10,9,1,0,0,0,1,0,212230,4763244,0,0.826855616844702,0.93515761202469,1,0.223,0.22,0.781,0.163,0.125,0.771,0.104,1,0.208,0
"114",144,13,7,11,10,3384,23,11,1,0,0,0,1,0,203668,4763244,0,1.67399207152497,0.974470707229413,11,0.418,0.227,0.773,0,0,0.865,0.135,11,0.416,0
"115",163,15,7,24,24,2650,12,19,1,0,0,0,1,0,201731,4763244,0,1.33765021466459,0.983827473219287,24,0.735,0.277,0.723,0.072,0.04,0.96,0,24,0.7,0
"116",186,16,7,9,9,1464,20,20,0,1,1,0,1,0,187406,4763244,0,1.05902959350288,1.05902959350288,9,1,0.132,0.868,0.079,0,0.796,0.204,9,1,0
"117",234,18,7,12,13,1431,4,12,1,0,0,0,1,0,207117,4763244,0,1.50375429982876,0.958243408315107,12,0.552,0.213,0.787,0.08,0.052,0.914,0.034,12,0.53,0
"118",239,19,7,6,6,6070,6,8,1,0,0,0,1,0,197669,4763244,0,0.781864560352978,1.00404464028249,6,0.673,0.345,0.655,0.084,0,1,0,6,0.629,0
"119",331,22,7,21,22,849,23,10,1,0,0,0,1,0,192980,4763244,0,0.883024114611141,1.02844077106436,22,0.368,0.097,0.903,0.029,0,0.947,0.053,22,0.341,0
"120",375,24,7,20,21,2613,19,23,0,1,1,0,1,0,202922,4763244,0,1.38205412105512,0.978053143572407,20,0.49,0.156,0.844,0.047,0,0.879,0.121,20,0.472,0
"121",602,41,7,10,20,4179,6,17,0,1,1,0,1,0,180720,4763244,0,1.23121708220376,1.09820993802568,6,0.2,0.169,0.831,0.034,0,0.733,0.267,6,0.237,0
"122",662,47,7,11,11,2832,23,11,0,1,1,0,0,1,203668,4763244,0,2.32922378180453,0.974470707229413,11,0.418,0.205,0.794,0.179,0.045,0.682,0.273,11,0.416,0
"123",1082,75,7,8,8,2825,22,4,1,0,0,0,0,0,195857,4763244,0,1.20875128659565,1.01333370775617,8,0.562,0.228,0.772,0,0,0.872,0.128,8,0.537,0
