"","SECCION","munn.x","edon.x","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"267",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"268",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"269",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"270",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"271",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"272",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"273",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"274",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"275",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"276",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"277",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"278",116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"279",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"280",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"281",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"282",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"283",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"284",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"285",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"286",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"287",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"288",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"289",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"290",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"291",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
