"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"230",683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"231",684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"232",685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"233",686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"234",687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"235",688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"236",689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"237",690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"238",691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"239",882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"240",883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"241",884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"242",977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"243",978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"244",979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"245",980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"246",981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"247",982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"248",983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"249",984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"250",985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"251",986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"252",987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"253",988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"254",989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"255",1039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"256",1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"257",1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
