"","SECCION","munn.x","edon.x","disloc2017","disloc2015","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"261",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"262",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"263",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"264",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"265",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"266",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"267",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"268",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"269",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"270",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"271",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"272",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"273",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"274",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"275",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"276",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"277",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"278",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"279",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"280",116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"281",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"282",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"283",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"284",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"285",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
