"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
713,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",713,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
714,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",714,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
715,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",715,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
716,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",716,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
717,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",717,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
718,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",718,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
719,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",719,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
720,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",720,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
721,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",721,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
722,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",722,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
723,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",723,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
724,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",724,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
725,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",725,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
726,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",726,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
727,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",727,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
728,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",728,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
729,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",729,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
730,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",730,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
731,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",731,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
732,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",732,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
733,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",733,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
734,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",734,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
735,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",735,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
736,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",736,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
737,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",737,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
738,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",738,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
739,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",739,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
740,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",740,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
741,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",741,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
742,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",742,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
743,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",743,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
744,52,7,"cps",9,3,3,11,20,20,"Las Margaritas","0",744,52,7,"cps",9,3,3,11,20,23,NA,7,7,23,4,23,"7","7","7","7","7","7","Y","Y2",0,0,20,0.452,0.472,7,0.382
