"seccion","edon.x","edo","munn.x","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","prd_cnv1","pan_clv2","prd_clv2","esc1_panCLV1","esc1_prdCNV1","esc2_panCLV2","esc2_prdCLV2","E1","dsiE1_E3"
125,24,"san",7,2,1,1,1,1,1,122,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
126,24,"san",7,2,1,1,1,1,1,123,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
127,24,"san",7,2,1,1,1,1,1,124,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
128,24,"san",7,2,1,1,1,1,1,125,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
129,24,"san",7,2,1,1,1,1,1,126,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
130,24,"san",7,2,1,1,1,1,1,127,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
131,24,"san",7,2,1,1,1,1,1,128,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
132,24,"san",7,2,1,1,1,1,1,129,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
133,24,"san",7,2,1,1,1,1,1,130,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
134,24,"san",7,2,1,1,1,1,1,131,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
135,24,"san",7,2,1,1,1,1,1,132,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
136,24,"san",8,4,3,3,3,10,2,133,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
137,24,"san",8,4,3,3,3,10,2,134,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
138,24,"san",8,4,3,3,3,10,2,135,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
139,24,"san",8,4,3,3,3,10,2,136,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
140,24,"san",8,4,3,3,3,10,2,137,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
141,24,"san",8,4,3,3,3,10,2,138,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
142,24,"san",8,4,3,3,3,10,2,139,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
143,24,"san",8,4,3,3,3,10,2,140,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
144,24,"san",8,4,3,3,3,10,2,141,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
145,24,"san",8,4,3,3,3,10,2,142,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
147,24,"san",8,4,3,3,3,10,2,143,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
148,24,"san",8,4,3,3,3,10,2,144,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
149,24,"san",8,4,3,3,3,10,2,145,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
150,24,"san",8,4,3,3,3,10,2,146,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
151,24,"san",8,4,3,3,3,10,2,147,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
152,24,"san",8,4,3,3,3,10,2,148,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
153,24,"san",8,4,3,3,3,10,2,149,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
154,24,"san",8,4,3,3,3,10,2,150,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
155,24,"san",8,4,3,3,3,10,2,151,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
156,24,"san",8,4,3,3,3,10,2,152,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
157,24,"san",8,4,3,3,3,10,2,153,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
158,24,"san",8,4,3,3,3,10,2,154,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
159,24,"san",8,4,3,3,3,10,2,155,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
160,24,"san",8,4,3,3,3,10,2,156,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
161,24,"san",8,4,3,3,3,10,2,157,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
162,24,"san",8,4,3,3,3,10,2,158,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
163,24,"san",8,4,3,3,3,10,2,159,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
164,24,"san",8,4,3,3,3,10,2,160,24,8,7,14,6,14,7,14,6,0,1,1,0,2,0.541
165,24,"san",9,4,2,2,2,3,3,161,24,9,7,3,2,3,7,3,2,0,1,1,0,1,0.445
166,24,"san",9,4,2,2,2,3,3,162,24,9,7,3,2,3,7,3,2,0,1,1,0,1,0.445
167,24,"san",9,4,2,2,2,3,3,163,24,9,7,3,2,3,7,3,2,0,1,1,0,1,0.445
168,24,"san",9,4,2,2,2,3,3,164,24,9,7,3,2,3,7,3,2,0,1,1,0,1,0.445
169,24,"san",9,4,2,2,2,3,3,165,24,9,7,3,2,3,7,3,2,0,1,1,0,1,0.445
170,24,"san",9,4,2,2,2,3,3,166,24,9,7,3,2,3,7,3,2,0,1,1,0,1,0.445
171,24,"san",9,4,2,2,2,3,3,167,24,9,7,3,2,3,7,3,2,0,1,1,0,1,0.445
172,24,"san",9,4,2,2,2,3,3,168,24,9,7,3,2,3,7,3,2,0,1,1,0,1,0.445
173,24,"san",10,4,3,3,3,11,11,169,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
174,24,"san",10,4,3,3,3,11,11,170,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
175,24,"san",10,4,3,3,3,11,11,171,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
176,24,"san",10,4,3,3,3,11,11,172,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
177,24,"san",10,4,3,3,3,11,11,173,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
178,24,"san",10,4,3,3,3,11,11,174,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
179,24,"san",10,4,3,3,3,11,11,175,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
180,24,"san",57,4,4,4,4,11,11,176,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
181,24,"san",10,4,3,3,3,11,11,177,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
182,24,"san",10,4,3,3,3,11,11,178,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
183,24,"san",10,4,3,3,3,11,11,179,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
184,24,"san",10,4,3,3,3,11,11,180,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
185,24,"san",10,4,3,3,3,11,11,181,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
186,24,"san",57,4,4,4,4,11,11,182,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
187,24,"san",57,4,4,4,4,11,11,183,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
188,24,"san",57,4,4,4,4,11,11,184,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
189,24,"san",57,4,4,4,4,11,11,185,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
190,24,"san",57,4,4,4,4,11,11,186,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
191,24,"san",57,4,4,4,4,11,11,187,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
192,24,"san",57,4,4,4,4,11,11,188,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
193,24,"san",57,4,4,4,4,11,11,189,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
194,24,"san",57,4,4,4,4,11,11,190,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
195,24,"san",57,4,4,4,4,11,11,191,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
196,24,"san",10,4,3,3,3,11,11,192,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
197,24,"san",10,4,3,3,3,11,11,193,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
198,24,"san",10,4,3,3,3,11,11,194,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
199,24,"san",10,4,3,3,3,11,11,195,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
200,24,"san",10,4,3,3,3,11,11,196,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
201,24,"san",10,4,3,3,3,11,11,197,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
202,24,"san",10,4,3,3,3,11,11,198,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
203,24,"san",57,4,4,4,4,11,11,199,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
204,24,"san",57,4,4,4,4,11,11,200,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
205,24,"san",57,4,4,4,4,11,11,201,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
206,24,"san",10,4,3,3,3,11,11,202,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
207,24,"san",10,4,3,3,3,11,11,203,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
208,24,"san",10,4,3,3,3,11,11,204,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
209,24,"san",10,4,3,3,3,11,11,205,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
210,24,"san",10,4,3,3,3,11,11,206,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
211,24,"san",10,4,3,3,3,11,11,207,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
212,24,"san",57,4,4,4,4,11,11,208,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
213,24,"san",57,4,4,4,4,11,11,209,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
214,24,"san",10,4,3,3,3,11,11,210,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
215,24,"san",10,4,3,3,3,11,11,211,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
216,24,"san",10,4,3,3,3,11,11,212,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
217,24,"san",10,4,3,3,3,11,11,213,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
218,24,"san",10,4,3,3,3,11,11,214,24,10,7,9,3,9,7,9,3,0,1,1,0,7,0.424
219,24,"san",57,4,4,4,4,11,11,215,24,57,7,9,3,9,7,9,3,0,1,1,0,7,0.424
220,24,"san",11,3,3,3,3,10,10,216,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
221,24,"san",11,3,3,3,3,10,10,217,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
222,24,"san",11,3,3,3,3,10,10,218,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
223,24,"san",11,3,3,3,3,10,10,219,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
224,24,"san",11,3,3,3,3,10,10,220,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
225,24,"san",11,3,3,3,3,10,10,221,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
226,24,"san",11,3,3,3,3,10,10,222,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
227,24,"san",11,3,3,3,3,10,10,223,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
228,24,"san",11,3,3,3,3,10,10,224,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
229,24,"san",11,3,3,3,3,10,10,225,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
230,24,"san",11,3,3,3,3,10,10,226,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
231,24,"san",11,3,3,3,3,10,10,227,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
232,24,"san",11,3,3,3,3,10,10,228,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
233,24,"san",11,3,3,3,3,10,10,229,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
234,24,"san",11,3,3,3,3,10,10,230,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
235,24,"san",11,3,3,3,3,10,10,231,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
236,24,"san",11,3,3,3,3,10,10,232,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
237,24,"san",11,3,3,3,3,10,10,233,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
238,24,"san",11,3,3,3,3,10,10,234,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
239,24,"san",11,3,3,3,3,10,10,235,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
240,24,"san",11,3,3,3,3,10,10,236,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
241,24,"san",11,3,3,3,3,10,10,237,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
242,24,"san",11,3,3,3,3,10,10,238,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
243,24,"san",11,3,3,3,3,10,10,239,24,11,2,8,6,8,2,8,6,0,1,1,0,2,0.541
