"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_cnv1","pes_clv1","prd_clv1","pri_clv1","pvem_clv1","mc_clv2","pan_cnv2","pes_clv2","prd_cnv2","pri_clv2","pvem_clv2","esc1_morCLV1","esc1_panCNV1","esc1_pesCLV1","esc1_prdCLV1","esc1_priCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCNV2","esc2_priCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1"
62,5,19,"nl",6,1,12,7,"anahuac",21,21,57,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
63,6,19,"nl",6,2,2,2,"apodaca",16,5,58,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
66,6,19,"nl",6,2,2,2,"apodaca",16,5,59,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
68,6,19,"nl",6,2,2,2,"apodaca",16,16,60,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
69,6,19,"nl",6,2,2,2,"apodaca",16,16,61,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
70,6,19,"nl",6,2,2,2,"apodaca",16,16,62,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
71,6,19,"nl",6,2,2,2,"apodaca",16,16,63,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
72,6,19,"nl",6,2,2,2,"apodaca",16,16,64,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
73,6,19,"nl",6,2,2,2,"apodaca",16,16,65,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
74,6,19,"nl",6,2,2,2,"apodaca",16,16,66,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
75,6,19,"nl",6,2,2,2,"apodaca",16,16,67,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
76,6,19,"nl",6,2,2,2,"apodaca",16,16,68,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
78,6,19,"nl",6,2,2,2,"apodaca",16,16,69,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
79,6,19,"nl",6,2,2,2,"apodaca",16,16,70,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
80,6,19,"nl",6,2,2,2,"apodaca",16,16,71,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26
