"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2011","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","mc_iee1","morena_clv1","morena_iee1","prd_clv1","prd_iee1","pri_clv1","pt_clv1","mc_clv2","morena_clv2","panal_clv2","pan_clv2","pes_clv2","ph_iee2","prd_clv2","pri_clv2","prs_iee2","pt_clv2","pvem_clv2","esc1_mcCLV1","esc1_mcIEE1","esc1_morCLV1","esc1_morIEE1","esc1_prdCLV1","esc1_prdIEE1","esc1_priCLV1","esc1_ptCLV1","esc2_mcCLV2","esc2_morCLV2","esc2_panalCLV2","esc2_panCLV2","esc2_pesCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priCLV2","esc2_prsIEE2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
246,3,3,"bcs",1,2,1,1,16,4,242,3,3,16,16,16,13,13,13,13,13,13,11,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
247,3,3,"bcs",1,2,1,1,16,4,243,3,3,16,16,16,13,13,13,13,13,13,7,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
248,3,3,"bcs",1,2,2,1,16,4,244,3,3,16,16,16,12,12,12,12,12,12,7,12,14,14,13,13,13,13,13,13,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
249,3,3,"bcs",1,2,2,1,16,4,245,3,3,16,16,16,13,13,13,13,13,13,7,13,14,14,13,13,13,13,13,13,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
250,3,3,"bcs",1,2,2,1,16,4,246,3,3,16,16,16,12,12,12,12,12,12,7,12,14,14,13,13,13,13,13,13,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
251,3,3,"bcs",1,2,2,1,16,4,247,3,3,16,16,16,13,13,13,13,13,13,7,13,14,14,13,13,13,13,13,13,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
254,3,3,"bcs",1,2,2,2,12,4,248,3,3,12,12,12,16,16,16,16,16,16,14,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,0.571,0.571
255,3,3,"bcs",1,2,1,2,12,4,249,3,3,12,12,12,16,16,16,16,16,16,14,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,0.571,0.571
256,3,3,"bcs",1,2,1,1,15,5,250,3,3,15,15,15,11,11,11,11,11,11,8,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,5,0.412,0.412
257,3,3,"bcs",1,2,1,1,15,5,251,3,3,15,15,15,11,11,11,11,11,11,8,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,5,0.412,0.412
258,3,3,"bcs",1,2,1,1,15,5,252,3,3,15,15,15,11,11,11,11,11,11,8,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,5,0.412,0.412
259,3,3,"bcs",1,2,1,1,15,5,253,3,3,15,15,15,11,11,11,11,11,11,8,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,5,0.412,0.412
260,3,3,"bcs",1,2,1,1,15,5,254,3,3,15,15,15,11,11,11,11,11,11,8,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,5,0.412,0.412
261,3,3,"bcs",1,2,1,1,15,5,255,3,3,15,15,15,11,11,11,11,11,11,8,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,5,0.412,0.412
262,3,3,"bcs",1,2,1,1,15,5,256,3,3,15,15,15,11,11,11,11,11,11,8,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,5,0.412,0.412
