"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
301,10,"col",6,16,16,1025,12,7,16,0.260863023088626
302,10,"col",6,15,16,1995,11,8,15,0.222529007658679
303,10,"col",6,15,15,1196,11,8,15,0.222529007658679
304,10,"col",6,15,15,1312,11,8,15,0.222529007658679
305,10,"col",6,15,15,1795,11,8,15,0.222529007658679
306,10,"col",6,15,15,713,11,8,15,0.222529007658679
307,10,"col",6,15,16,1237,11,8,15,0.222529007658679
308,10,"col",6,15,15,1584,11,8,15,0.222529007658679
309,10,"col",6,15,15,1090,11,8,15,0.222529007658679
310,10,"col",6,15,16,1439,11,8,15,0.222529007658679
311,10,"col",6,15,16,2868,11,8,15,0.222529007658679
312,10,"col",6,15,15,4972,11,8,15,0.222529007658679
313,10,"col",6,15,16,1244,11,8,15,0.222529007658679
314,10,"col",6,15,16,1749,11,8,15,0.222529007658679
315,10,"col",6,15,16,4261,11,8,15,0.222529007658679
316,10,"col",6,15,16,5441,11,8,15,0.222529007658679
317,10,"col",6,16,10,1175,12,7,16,0.260863023088626
318,10,"col",6,16,10,1250,12,7,16,0.260863023088626
319,10,"col",6,16,10,1396,12,7,16,0.260863023088626
320,10,"col",6,16,10,954,12,7,16,0.260863023088626
321,10,"col",6,16,10,1909,12,7,16,0.260863023088626
322,10,"col",6,15,9,705,11,8,15,0.222529007658679
323,10,"col",6,15,9,1180,11,8,15,0.222529007658679
324,10,"col",6,15,9,1930,11,8,15,0.222529007658679
325,10,"col",6,16,10,898,12,7,16,0.260863023088626
326,10,"col",6,16,9,1103,12,7,16,0.260863023088626
327,10,"col",6,16,16,425,12,7,16,0.260863023088626
328,10,"col",6,15,15,878,11,8,15,0.222529007658679
329,10,"col",6,16,16,2981,12,7,16,0.260863023088626
330,10,"col",6,16,16,175,12,7,16,0.260863023088626
331,10,"col",6,16,16,245,12,7,16,0.260863023088626
332,10,"col",6,16,16,403,12,7,16,0.260863023088626
333,10,"col",6,16,16,335,12,7,16,0.260863023088626
334,10,"col",6,16,16,3096,12,7,16,0.260863023088626
335,10,"col",6,16,16,2551,12,7,16,0.260863023088626
336,10,"col",6,16,16,2422,12,7,16,0.260863023088626
337,5,"col",6,5,4,1211,3,13,7,0.186565543992705
338,5,"col",6,5,4,1083,3,13,7,0.186565543992705
339,5,"col",6,8,4,656,5,16,8,0.744193359047459
340,5,"col",6,8,4,662,5,16,8,0.744193359047459
341,5,"col",6,8,4,534,5,16,8,0.744193359047459
342,5,"col",6,8,8,559,5,16,8,0.744193359047459
343,5,"col",6,8,8,1027,5,16,8,0.744193359047459
344,5,"col",6,8,8,1159,5,16,8,0.744193359047459
345,5,"col",6,8,8,930,5,16,8,0.744193359047459
346,5,"col",6,8,8,617,5,16,8,0.744193359047459
347,5,"col",6,8,8,923,5,16,8,0.744193359047459
348,5,"col",6,8,8,969,5,16,8,0.744193359047459
349,5,"col",6,8,8,1190,5,16,8,0.744193359047459
350,5,"col",6,8,8,1075,5,16,8,0.744193359047459
351,5,"col",6,8,8,643,5,16,8,0.744193359047459
352,5,"col",6,8,8,487,5,16,8,0.744193359047459
353,5,"col",6,8,8,558,5,16,8,0.744193359047459
354,5,"col",6,8,8,992,5,16,8,0.744193359047459
355,5,"col",6,8,8,1215,5,16,8,0.744193359047459
356,5,"col",6,8,8,922,5,16,8,0.744193359047459
357,5,"col",6,8,8,1005,5,16,8,0.744193359047459
358,5,"col",6,8,8,966,5,16,8,0.744193359047459
359,5,"col",6,8,8,1002,5,16,8,0.744193359047459
360,5,"col",6,8,8,798,5,16,8,0.744193359047459
361,5,"col",6,8,8,1001,5,16,8,0.744193359047459
362,5,"col",6,5,8,1566,3,13,7,0.186565543992705
363,5,"col",6,5,8,1543,3,13,7,0.186565543992705
364,5,"col",6,5,8,402,3,13,7,0.186565543992705
365,5,"col",6,5,8,627,3,13,7,0.186565543992705
366,5,"col",6,5,8,402,3,13,7,0.186565543992705
367,5,"col",6,5,8,1100,3,13,7,0.186565543992705
368,5,"col",6,5,8,795,3,13,7,0.186565543992705
369,5,"col",6,5,8,1337,3,13,7,0.186565543992705
370,5,"col",6,8,8,1653,5,16,8,0.744193359047459
371,5,"col",6,8,8,1006,5,16,8,0.744193359047459
372,5,"col",6,8,8,343,5,16,8,0.744193359047459
