"seccion","munn","edo","edon","disloc2018","disloc2011","pobtot","esc1","esc3","SQ","dsi_pob"
389,4,"bcs",3,7,8,947,7,7,8,0.347494476978644
390,4,"bcs",3,7,8,974,7,7,8,0.347494476978644
391,4,"bcs",3,7,8,521,7,7,8,0.347494476978644
392,4,"bcs",3,7,8,438,7,7,8,0.347494476978644
393,4,"bcs",3,7,8,754,7,7,8,0.347494476978644
394,4,"bcs",3,9,8,991,9,9,8,0.0623352908219377
395,4,"bcs",3,5,8,482,5,5,8,0.197824953097145
396,4,"bcs",3,5,8,4828,5,5,8,0.197824953097145
397,4,"bcs",3,5,8,2561,5,5,8,0.197824953097145
398,4,"bcs",3,5,8,963,5,5,8,0.197824953097145
399,4,"bcs",3,5,8,735,5,5,8,0.197824953097145
400,4,"bcs",3,5,8,506,5,5,8,0.197824953097145
401,4,"bcs",3,5,8,2057,5,5,8,0.197824953097145
402,4,"bcs",3,5,8,1716,5,5,8,0.197824953097145
403,4,"bcs",3,6,8,634,6,6,8,0.350720622786408
404,4,"bcs",3,6,8,1508,6,6,8,0.350720622786408
405,4,"bcs",3,6,8,1909,6,6,8,0.350720622786408
406,4,"bcs",3,6,8,1538,6,6,8,0.350720622786408
407,4,"bcs",3,6,8,1597,6,6,8,0.350720622786408
408,4,"bcs",3,6,8,1053,6,6,8,0.350720622786408
409,4,"bcs",3,6,8,774,6,6,8,0.350720622786408
410,4,"bcs",3,6,8,1279,6,6,8,0.350720622786408
411,4,"bcs",3,6,8,2514,6,6,8,0.350720622786408
412,4,"bcs",3,10,7,2845,10,10,7,0.427628177509694
413,4,"bcs",3,10,7,1498,10,10,7,0.427628177509694
414,4,"bcs",3,10,7,1628,10,10,7,0.427628177509694
415,4,"bcs",3,10,7,1287,10,10,7,0.427628177509694
416,4,"bcs",3,10,7,1165,10,10,7,0.427628177509694
417,4,"bcs",3,10,7,1060,10,10,7,0.427628177509694
418,4,"bcs",3,10,7,952,10,10,7,0.427628177509694
419,4,"bcs",3,10,7,1140,10,10,7,0.427628177509694
420,4,"bcs",3,10,7,1148,10,10,7,0.427628177509694
421,4,"bcs",3,10,7,1009,10,10,7,0.427628177509694
422,4,"bcs",3,10,7,1136,10,10,7,0.427628177509694
423,4,"bcs",3,10,7,1103,10,10,7,0.427628177509694
424,4,"bcs",3,10,7,1084,10,10,7,0.427628177509694
425,4,"bcs",3,10,7,1157,10,10,7,0.427628177509694
426,4,"bcs",3,10,7,938,10,10,7,0.427628177509694
427,4,"bcs",3,10,7,917,10,10,7,0.427628177509694
428,4,"bcs",3,10,7,1016,10,10,7,0.427628177509694
429,4,"bcs",3,10,7,1194,10,10,7,0.427628177509694
430,4,"bcs",3,10,7,876,10,10,7,0.427628177509694
431,4,"bcs",3,10,7,1016,10,10,7,0.427628177509694
432,4,"bcs",3,10,7,1297,10,10,7,0.427628177509694
433,4,"bcs",3,10,7,1149,10,10,7,0.427628177509694
434,4,"bcs",3,10,7,1162,10,10,7,0.427628177509694
435,4,"bcs",3,10,7,1317,10,10,7,0.427628177509694
436,4,"bcs",3,10,7,1049,10,10,7,0.427628177509694
437,4,"bcs",3,10,7,728,10,10,7,0.427628177509694
438,4,"bcs",3,10,7,949,10,10,7,0.427628177509694
439,4,"bcs",3,10,7,514,10,10,7,0.427628177509694
