"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","cab","mun","disloc2005","disloc2017","demarc2008","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pri_clv1","esc1_panCLV1","esc1_priCLV1","E1","dsiE1_E3"
155,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,154,18,5,15,13,13,13,13,0,0,15,0.653
156,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,155,18,5,15,13,13,13,13,0,0,15,0.653
157,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,156,18,5,15,13,13,13,13,0,0,15,0.653
158,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.06,157,18,5,15,14,14,14,14,0,0,13,0.537
159,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.05,158,18,5,15,14,14,14,14,0,0,13,0.537
160,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.05,159,18,5,15,14,14,14,14,0,0,13,0.537
161,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,160,18,5,15,13,13,13,13,0,0,15,0.653
162,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,161,18,5,15,13,13,13,13,0,0,15,0.653
163,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,162,18,5,15,13,13,13,13,0,0,15,0.653
164,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,163,18,5,15,13,13,13,13,0,0,15,0.653
165,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,164,18,5,15,13,13,13,13,0,0,15,0.653
166,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,165,18,5,15,13,13,13,13,0,0,15,0.653
167,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,166,18,5,15,13,13,13,13,0,0,15,0.653
168,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,167,18,5,15,13,13,13,13,0,0,15,0.653
169,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,168,18,5,15,13,13,13,13,0,0,15,0.653
170,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.07,169,18,5,15,13,13,13,13,0,0,15,0.653
171,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,170,18,5,15,13,13,13,13,0,0,15,0.653
172,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.07,171,18,5,15,13,13,13,13,0,0,15,0.653
173,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,172,18,5,15,13,13,13,13,0,0,15,0.653
174,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,173,18,5,15,13,13,13,13,0,0,15,0.653
