"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","pan_clv1","mc_clv2","pan_cnv2","prd_clv2","pri_clv2","esc1_mcCLV1","esc1_panCLV1","esc1_mcCLV1.1","esc2_mcCLV2","esc2_panCNV2","esc2_prdCLV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
164,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
165,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
166,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
167,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
168,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
169,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
170,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
171,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
172,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
173,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
174,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
