"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","mc_clv2","panal_cnv2","pan_clv2","pan_cnv2","pri_clv2","esc1_panalCNV1","esc1_priCLV1","esc2_mcCLV2","esc2_panalCNV2","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
122,8,8,"cua",2,7,9,9,22,"guachochi",21,118,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
123,8,8,"cua",2,7,9,9,22,"guachochi",21,119,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
124,8,8,"cua",2,7,9,9,22,"guachochi",21,120,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
125,8,8,"cua",2,7,9,9,22,"guachochi",21,121,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
126,8,8,"cua",2,7,9,9,22,"guachochi",21,122,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
127,9,8,"cua",5,7,9,7,13,"guerrero",14,123,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
128,9,8,"cua",5,7,9,7,13,"guerrero",14,124,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
129,9,8,"cua",5,7,9,7,13,"guerrero",14,125,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
130,9,8,"cua",5,7,9,7,13,"guerrero",14,126,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
131,9,8,"cua",5,7,9,7,13,"guerrero",14,127,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
132,9,8,"cua",5,7,9,7,13,"guerrero",14,128,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
133,9,8,"cua",5,7,9,7,13,"guerrero",14,129,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
134,9,8,"cua",5,7,9,7,13,"guerrero",14,130,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
135,9,8,"cua",5,7,9,7,13,"guerrero",14,131,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
136,9,8,"cua",5,7,9,7,13,"guerrero",14,132,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
137,9,8,"cua",5,7,9,7,13,"guerrero",14,133,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
138,9,8,"cua",5,7,9,7,13,"guerrero",14,134,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
139,9,8,"cua",5,7,9,7,13,"guerrero",14,135,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
140,9,8,"cua",5,7,9,7,13,"guerrero",14,136,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
