"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","morena_clv1","morena_iee1","panal_clv1","pes_clv1","pri_clv1","pt_clv1","pvem_clv1","mc_clv2","panal_clv2","pes_clv2","pri_clv2","pt_clv2","pvem_clv2","esc1_morCLV1","esc1_morIEE1","esc1_panalCLV1","esc1_pesCLV1","esc1_mcCLV1","esc1_priCLV1","esc1_ptCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panalCLV2","esc2_pesCLV2","esc2_priCLV2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E3"
97,2,6,"col",1,1,1,1,4,4,97,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
98,2,6,"col",1,1,1,1,4,4,98,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
99,2,6,"col",1,1,1,1,4,4,99,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
100,2,6,"col",1,1,1,1,4,4,100,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
101,2,6,"col",1,1,1,1,4,4,101,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
102,2,6,"col",1,1,1,1,4,4,102,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
103,2,6,"col",1,1,1,1,4,4,103,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
104,2,6,"col",1,1,1,1,4,4,104,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
105,3,6,"col",1,1,1,1,5,5,105,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
106,3,6,"col",1,1,1,1,5,5,106,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
107,3,6,"col",1,1,1,1,5,5,107,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
108,3,6,"col",1,1,1,1,5,5,108,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
109,3,6,"col",1,1,1,1,5,5,109,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
110,3,6,"col",1,1,1,1,5,5,110,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
111,3,6,"col",1,1,1,1,5,5,111,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
112,3,6,"col",1,1,1,1,5,5,112,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
113,3,6,"col",1,1,1,1,5,5,113,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
114,3,6,"col",1,1,1,1,5,5,114,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
115,3,6,"col",1,1,1,1,5,5,115,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
116,3,6,"col",1,1,1,1,5,5,116,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
117,3,6,"col",1,1,1,1,5,5,117,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
118,3,6,"col",1,1,1,1,5,5,118,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
119,3,6,"col",1,1,1,1,5,5,119,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.349
120,4,6,"col",1,1,1,1,6,6,120,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
121,4,6,"col",1,1,1,1,6,6,121,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
122,4,6,"col",1,1,1,1,6,6,122,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
123,4,6,"col",1,1,1,1,6,6,123,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
124,4,6,"col",1,1,1,1,6,6,124,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
125,4,6,"col",1,1,1,1,6,6,125,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
126,4,6,"col",1,1,1,1,6,6,126,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
127,4,6,"col",1,1,1,1,6,6,127,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
128,4,6,"col",1,1,1,1,6,6,128,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
129,4,6,"col",1,1,1,1,6,6,129,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
