"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","SQ","dsiSQ_E1"
108,6,17,"mor",2,3,3,3,7,14,"cuautla",108,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
109,6,17,"mor",2,3,3,3,7,14,"cuautla",109,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
110,6,17,"mor",2,3,3,3,7,14,"cuautla",110,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
111,6,17,"mor",2,3,3,3,7,14,"cuautla",111,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
112,6,17,"mor",2,3,3,3,7,14,"cuautla",112,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
113,6,17,"mor",2,3,3,3,7,14,"cuautla",113,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
114,6,17,"mor",2,3,3,3,7,14,"cuautla",114,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
115,6,17,"mor",2,3,3,3,7,14,"cuautla",115,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
116,6,17,"mor",2,3,3,3,7,14,"cuautla",116,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
117,6,17,"mor",2,3,3,3,7,14,"cuautla",117,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
118,6,17,"mor",2,3,3,3,7,14,"cuautla",118,17,6,11,11,12,11,2,8,4,5,12,11,0,0,0,0,0,1,17,0.589
119,6,17,"mor",2,3,3,3,7,14,"cuautla",119,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
120,6,17,"mor",2,3,3,3,7,14,"cuautla",120,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
121,6,17,"mor",2,3,3,3,7,14,"cuautla",121,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
122,6,17,"mor",2,3,3,3,7,14,"cuautla",122,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
123,6,17,"mor",2,3,3,3,7,14,"cuautla",123,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
124,6,17,"mor",2,3,3,3,7,14,"cuautla",124,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
125,6,17,"mor",2,3,3,3,7,14,"cuautla",125,17,6,11,11,12,11,2,8,5,5,12,11,0,0,0,0,0,1,17,0.589
126,6,17,"mor",2,3,3,3,7,14,"cuautla",126,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
127,6,17,"mor",2,3,3,3,7,14,"cuautla",127,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
