"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
93,1,1,8,15,944,8,8,1,0,0,1,0,0,65988,1160287,0,0.96256945792538,0.976850168044021,13,0.434,15,0.175,1,0,0,0.8,0.2,0,13,0.321,15,0.222
94,1,1,8,15,840,8,8,1,0,0,0,0,0,65988,1160287,0,0.96256945792538,0.976850168044021,13,0.434,15,0.175,1,0,0,0.8,0.2,0,13,0.321,15,0.222
95,1,1,8,15,1209,8,8,1,0,0,0,0,0,65988,1160287,0,0.96256945792538,0.976850168044021,13,0.434,15,0.175,1,0,0,0.8,0.2,0,13,0.321,15,0.222
96,1,1,8,15,3343,8,8,1,0,0,1,0,0,65988,1160287,0,0.96256945792538,0.976850168044021,13,0.434,15,0.175,1,0,0,0.8,0.2,0,13,0.321,15,0.222
97,1,1,8,5,1260,8,8,1,0,0,0,1,0,65988,1160287,0,1.38758774919576,0.976850168044021,13,0.434,16,0.69,0.714,0.286,0.143,0.5,0.5,0,13,0.321,16,0.3
99,1,1,8,13,2727,8,8,1,0,0,0,1,0,65988,1160287,0,0.972502585714118,0.976850168044021,13,0.434,8,0.434,1,0,0,0.538,0.462,0,13,0.321,8,0.321
100,1,1,8,5,1372,8,8,1,0,0,0,1,0,65988,1160287,0,1.38758774919576,0.976850168044021,13,0.434,16,0.69,0.714,0.286,0.143,0.5,0.5,0,13,0.321,16,0.3
101,1,1,8,15,2359,8,8,1,0,0,1,0,0,65988,1160287,0,0.96256945792538,0.976850168044021,13,0.434,15,0.175,1,0,0,0.8,0.2,0,13,0.321,15,0.222
102,1,1,8,15,1185,8,8,1,0,0,0,0,0,65988,1160287,0,0.96256945792538,0.976850168044021,13,0.434,15,0.175,1,0,0,0.8,0.2,0,13,0.321,15,0.222
103,1,1,8,15,1062,8,8,1,0,0,1,0,0,65988,1160287,0,0.96256945792538,0.976850168044021,13,0.434,15,0.175,1,0,0,0.8,0.2,0,13,0.321,15,0.222
104,1,1,12,15,656,12,12,1,0,0,1,0,0,66370,1160287,0,0.96256945792538,0.971227797030117,11,0.723,15,0.175,1,0,0,0.8,0.2,0,11,0.779,15,0.222
