"seccion","munn","edon","disloc2017","disloc2005","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2005","RRI_2017","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
77,3,18,16,13,648,17,18,0,1,1,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
78,3,18,16,13,689,17,18,1,0,0,0,1,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
79,3,18,16,13,977,17,18,0,1,0,0,1,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
80,3,18,16,13,588,17,18,1,0,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
81,3,18,16,13,248,17,18,1,0,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
82,3,18,16,13,616,17,18,1,0,0,1,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
83,3,18,16,13,770,17,18,1,0,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
84,3,18,16,13,133,17,18,0,1,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
86,3,18,16,13,361,17,18,0,1,0,0,1,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
87,3,18,16,13,63,17,18,0,1,0,1,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
88,3,18,16,13,537,17,18,0,1,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
89,3,18,16,13,540,17,18,0,1,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
90,4,18,18,14,23216,12,3,0,1,1,0,0,0,62984,1084942,0,0.425043407674853,0.956982020125041,14,0.444,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.191,11,0.532
91,4,18,17,14,1053,11,4,1,0,0,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
92,4,18,17,14,795,11,4,1,0,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
93,4,18,17,14,178,11,4,0,1,0,0,0,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
94,4,18,17,14,763,11,4,0,1,0,0,1,0,61221,1084942,0,0.425043407674853,0.984540526217402,14,0.432,11,0.432,0.344,0.656,0.23,0.043,0.957,0,14,0.532,11,0.532
